Product Code,Category,Sub Category,Brand,Product,Description,Features,Final Price,Image,Related
INGL3110,Home & Kitchen,Kitchen Appliances,Philips,Philips Rice Cooker HD3018,"<p>Tasty rice makes the whole meal more enjoyable and the way of cooking plays an important role. Philips' rice cooker with 5-layer golden inner pot can generate more heat and transmits heat evenly, thus brings out the best taste of rice</p>","<ul>
<li>Rice Cooker</li>
<li>550 W Power Consumption</li>
<li>1.8 L Capacity</li>
<li>Cooking Feature</li>
<li>Automatic Cooking</li>
<li>1.5 mm 5 Layer Golden Inner Pot</li>
</ul>",3264,INGL3110.jpg,INGL3008 INGL3109 INGL3007 INGL3111 INGL3115 INGL3227 INGL3232 INGL3230
INGL3111,Home & Kitchen,Kitchen Appliances,Philips,Philips Mixer Grinder Project Dawn HL7610,,"<ul>
<li>Mixer Grinder</li>
<li>500 W Power Consumption</li>
<li>Wet Grinding Feature</li>
<li>Auto-shut Off for Overload Protection</li>
<li>Blending Feature</li>
<li>Locking System</li>
<li>Dry Grinding Feature</li>
</ul>",2754,INGL3111.jpg,INGL3008 INGL3109 INGL3110 INGL3007 INGL3115 INGL3227 INGL3232 INGL3230
INGL3112,Travel,Accessories,Epitome,Epitome Picnic Pack,"<p>The next time you go for a picnic, just carry the food and drink because this bag comes pre-packed with everything else. It has 21 accessories to make your picnic more fun including crockery and cutlery for four people as well as a wine opener with an in-built foil cutter. Everything, even an insulated cooling compartment, fits smartly into a compact satchel bag.</p>","<ul>
  <li>Size L-39 cm X B-20.5 cm H-32cm<br />
  </li>
  <li>Packaging Polybag</li>
</ul>",3060,INGL3112.jpg,INGL3037 INGL3114 INGL3191 INGL3192
INGL3113,Gifting Ideas,,Epitome,Epitome CARisma,"<p>What if your car became a conference room as well as a discotheque? CARISMA simplifies your life while making it fun. Plug it into the 12 volt cigarette socket in your car and the red light will gleam once it's turned on. CARISMA uses the power from your car battery to charge your mobile phone, MP3, camera and other devices when attached to it. You can also connect them to its audio input or USB port and set the radio channel in your car to an empty frequency number, 107.9, to play the music on your device through the car's speakers. And if you get a call, while your caller's voice will automatically fill the car through its speakers, just switch your mobile phone's loudspeaker on for them to hear you.</p>",,1453.5,INGL3113.jpg,INGL3116 INGL3117 INGL3118 INGL3119
INGL3114,Travel,Accessories,Xindao,Xindao Elegant Extremes,"<p>An extreme tool set that effortlessly combines elegance with utility. Designed by Xindao (Holland), it has no less than 15 functions as well a LED torch, which fit smartly into a sleek and compact body that's easy to grip. Inclusive of 3 button-cell batteries, this stylish gadget has a black and silver finish and comes packed in a premium EVA pouch and box.</p>",,2448,INGL3114.jpg,INGL3112 INGL3037 INGL3191 INGL3192
INGL3115,Home & Kitchen,Kitchen Appliances,Epitome,Epitome Tastefully Yours,"<p>Make your tea serving experience a royal one, with this elegant tea set. The unique and esthetic design of the kettle as well as the cups makes it stand out from any other regular tea set. A complete collection of 6 cups, saucers and a kettle in its very own wooden stand, this tea set is fit for a king!</p>",,2029.8,INGL3115.jpg,INGL3008 INGL3109 INGL3110 INGL3111 INGL3007 INGL3227 INGL3232 INGL3230
INGL3116,Gifting Ideas,,Xindao,Xindao Flexi Fingers,"<p>Tired of holding your stuff in your hands all the time? This funky stand designed by Luke Burley from the Xindao Studio gives you the flexibility to keep your hands free. Just place your phone, cards, photos etc. in between the supple fingers and they'll keep a secure grip on your stuff for you.</p>",,688.5,INGL3116.jpg,INGL3113 INGL3117 INGL3118 INGL3119
INGL3117,Gifting Ideas,,Epitome,Epitome Magnet Magic,<p>Kill the time with this 3D puzzle by putting together its magnetic pieces to make a heavy and stylish desktop device that can be used as a paperweight too. The jigsaw with a metallic matt finish balances on a solid base that will keep your papers in place while the puzzle keeps your mind occupied!</p>,,1581,INGL3117.jpg,INGL3116 INGL3113 INGL3118 INGL3119
INGL3118,Gifting Ideas,,Epitome,Epitome Literally Laptop,"<p>With this stand, you can literally, as its name suggests, use your laptop on your lap. It’s been designed especially to make you comfortable while you work, whether at home or while travelling. It even comes with a niche for your glass, and another for your pen, as well as an attached lamp so that you don’t disturb anybody. It’s a laptop accessory that makes for an exclusive yet purposeful gift.</p>","<ul>
  <li>Size: 44 x 34 x 10 cm<br />
  </li>
  <li>Weight: 0.88 </li>
</ul>",1224,INGL3118.jpg,INGL3116 INGL3117 INGL3113 INGL3119
INGL3119,Gifting Ideas,,Epitome,Epitome Foosball Fever,"<p>All you football lovers can now play your favourite game at home! This foosball table has two teams with an attached score bar, so 2 players can compete against each other and keep score easily. A great stress buster to have at home or even in your office, it’s a gift that everyone will love!</p>",,2142,INGL3119.jpg,INGL3116 INGL3117 INGL3118 INGL3113
INGL3120,Gifting Ideas,,Epitome,Epitome Bowled Over,"<p>If you can not go to the bowling alley, bring the bowling alley to you! This miniature set of pins, ball and lane is made from a combination of wood and metal. Compact enough to fit in a corner of your office yet substantial enough to give you a great game, brand this unique gift with your logo.</p>",,969,INGL3120.jpg,INGL3121 INGL3122 INGL3125 INGL3126
INGL3121,Gifting Ideas,,Epitome,Epitome Chesstyle,"<p>Hone your chess skills by keeping this magnetic chess set by your side. An entertaining yet intelligent hobby to have, you'll enjoy the game even better because of the sleek black and silver squares as well as the stylish transparent box it comes in.</p>","<ul>
  <li>Size: 9 x 1.7 x 11 cm<br />
  </li>
  <li>Weight: 0.09 </li>
</ul>",387.6,INGL3121.jpg,INGL3120 INGL3122 INGL3125 INGL3126
INGL3122,Gifting Ideas,,Epitome,Epitome Time and Space,<p>At work keep your near and dear ones close with this sleek desk clock that features a photo frame. That’s not all; it also has a memo board that allows you to pin up important notes using the two magnets included. This classy desk clock is a perfect utility gift.</p>,"<ul>
  <li>Size 15.2 x 1.5 x 9 cm</li>
</ul>",357,INGL3122.jpg,INGL3121 INGL3120 INGL3125 INGL3126
INGL3123,Travel,Bags & Backpacks,Lexon,Lexon Sling Style,"<p>Sporting a design that gives style to the usually casual sling bag, this bag from LEXON (France), has a laptop case as well as other compartments. Compact, trendy and made from high quality microfiber material, this sling bag is in a class of its own. Designed by Marco Pulga &  Luca Artioli.</p>","<ul>
  <li>Size 33 x 38 x 15 cm<br />
  </li>
  <li>Packaging Polybag<br />
  </li>
  <li>Weight: 0.78 kg</li>
</ul>",4488,INGL3123.jpg,INGL3128 INGL3837 INGL3838 INGL3841
